parent,vars,id,creation_time,psynet_version,deployment_id,deposited,inherited,inherited_from,module_id,local_key,key_within_module,key_within_experiment,export_path,is_global,module_state_id,participant_id,trial_id,node_id,network_id,description,personal,content_id,host_path,url,is_folder,data_type,extension,storage,node_definition,type,input_path,obfuscate,md5_contents,size_mb,deposit_time_sec,used_cache,class,object_type,file_system_path
"{""py/object"": ""psynet.trial.static.StaticNode"", ""identifiers"": {""id"": 11}}","{""file_system_path"": ""/psynet-data/assets/cached/label_experiment/nodes/node_11__prompt/c3b0896198af24dcff0f004f50436d2e.mp4""}",11,2026-03-09 18:02:10,13.1.1,image-stimulus-set-from-directory-demo__mode=live__launch=2026-03-09--18-02-10,True,False,,label_experiment,prompt,nodes/node_11__prompt,label_experiment/nodes/node_11__prompt,label_experiment/nodes/node_11__prompt.mp4,,,,,11,11,,False,c3b0896198af24dcff0f004f50436d2e,cached/label_experiment/nodes/node_11__prompt/c3b0896198af24dcff0f004f50436d2e.mp4,/static/assets/cached/label_experiment/nodes/node_11__prompt/c3b0896198af24dcff0f004f50436d2e.mp4,False,,.mp4,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/psynet-data/assets""}","{""name"": ""0-7_0-13.mp4""}",CachedAsset,input/experiment/participant-group-1/block-a/0-7_0-13.mp4,1,,,,True,CachedAsset,Asset,/psynet-data/assets/cached/label_experiment/nodes/node_11__prompt/c3b0896198af24dcff0f004f50436d2e.mp4
"{""py/object"": ""psynet.trial.static.StaticNode"", ""identifiers"": {""id"": 12}}","{""file_system_path"": ""/psynet-data/assets/cached/label_experiment/nodes/node_12__prompt/fedff7d6755f8418293754b9b0f0c3f2.mp4""}",12,2026-03-09 18:02:10,13.1.1,image-stimulus-set-from-directory-demo__mode=live__launch=2026-03-09--18-02-10,True,False,,label_experiment,prompt,nodes/node_12__prompt,label_experiment/nodes/node_12__prompt,label_experiment/nodes/node_12__prompt.mp4,,,,,12,12,,False,fedff7d6755f8418293754b9b0f0c3f2,cached/label_experiment/nodes/node_12__prompt/fedff7d6755f8418293754b9b0f0c3f2.mp4,/static/assets/cached/label_experiment/nodes/node_12__prompt/fedff7d6755f8418293754b9b0f0c3f2.mp4,False,,.mp4,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/psynet-data/assets""}","{""name"": ""0-26_0-32.mp4""}",CachedAsset,input/experiment/participant-group-1/block-a/0-26_0-32.mp4,1,,,,True,CachedAsset,Asset,/psynet-data/assets/cached/label_experiment/nodes/node_12__prompt/fedff7d6755f8418293754b9b0f0c3f2.mp4
"{""py/object"": ""psynet.trial.static.StaticNode"", ""identifiers"": {""id"": 13}}","{""file_system_path"": ""/psynet-data/assets/cached/label_experiment/nodes/node_13__prompt/862983c3c2a556cc76bc521fe6023252.mp4""}",13,2026-03-09 18:02:10,13.1.1,image-stimulus-set-from-directory-demo__mode=live__launch=2026-03-09--18-02-10,True,False,,label_experiment,prompt,nodes/node_13__prompt,label_experiment/nodes/node_13__prompt,label_experiment/nodes/node_13__prompt.mp4,,,,,13,13,,False,862983c3c2a556cc76bc521fe6023252,cached/label_experiment/nodes/node_13__prompt/862983c3c2a556cc76bc521fe6023252.mp4,/static/assets/cached/label_experiment/nodes/node_13__prompt/862983c3c2a556cc76bc521fe6023252.mp4,False,,.mp4,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/psynet-data/assets""}","{""name"": ""0-17_0-35.mp4""}",CachedAsset,input/experiment/participant-group-1/block-a/0-17_0-35.mp4,1,,,,True,CachedAsset,Asset,/psynet-data/assets/cached/label_experiment/nodes/node_13__prompt/862983c3c2a556cc76bc521fe6023252.mp4
"{""py/object"": ""psynet.trial.static.StaticNode"", ""identifiers"": {""id"": 14}}","{""file_system_path"": ""/psynet-data/assets/cached/label_experiment/nodes/node_14__prompt/c07c573b58ae8b70051da9047dc68ec7.mp4""}",14,2026-03-09 18:02:10,13.1.1,image-stimulus-set-from-directory-demo__mode=live__launch=2026-03-09--18-02-10,True,False,,label_experiment,prompt,nodes/node_14__prompt,label_experiment/nodes/node_14__prompt,label_experiment/nodes/node_14__prompt.mp4,,,,,14,14,,False,c07c573b58ae8b70051da9047dc68ec7,cached/label_experiment/nodes/node_14__prompt/c07c573b58ae8b70051da9047dc68ec7.mp4,/static/assets/cached/label_experiment/nodes/node_14__prompt/c07c573b58ae8b70051da9047dc68ec7.mp4,False,,.mp4,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/psynet-data/assets""}","{""name"": ""0-25_0-27.mp4""}",CachedAsset,input/experiment/participant-group-1/block-a/0-25_0-27.mp4,1,,,,True,CachedAsset,Asset,/psynet-data/assets/cached/label_experiment/nodes/node_14__prompt/c07c573b58ae8b70051da9047dc68ec7.mp4
"{""py/object"": ""psynet.trial.static.StaticNode"", ""identifiers"": {""id"": 15}}","{""file_system_path"": ""/psynet-data/assets/cached/label_experiment/nodes/node_15__prompt/ea73b99b8fa5390954209588236a732b.mp4""}",15,2026-03-09 18:02:10,13.1.1,image-stimulus-set-from-directory-demo__mode=live__launch=2026-03-09--18-02-10,True,False,,label_experiment,prompt,nodes/node_15__prompt,label_experiment/nodes/node_15__prompt,label_experiment/nodes/node_15__prompt.mp4,,,,,15,15,,False,ea73b99b8fa5390954209588236a732b,cached/label_experiment/nodes/node_15__prompt/ea73b99b8fa5390954209588236a732b.mp4,/static/assets/cached/label_experiment/nodes/node_15__prompt/ea73b99b8fa5390954209588236a732b.mp4,False,,.mp4,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/psynet-data/assets""}","{""name"": ""0-6_0-11.mp4""}",CachedAsset,input/experiment/participant-group-1/block-a/0-6_0-11.mp4,1,,,,True,CachedAsset,Asset,/psynet-data/assets/cached/label_experiment/nodes/node_15__prompt/ea73b99b8fa5390954209588236a732b.mp4
"{""py/object"": ""psynet.trial.static.StaticNode"", ""identifiers"": {""id"": 16}}","{""file_system_path"": ""/psynet-data/assets/cached/label_experiment/nodes/node_16__prompt/93b7583a47ae01893e2dbf89e98ead9e.mp4""}",16,2026-03-09 18:02:10,13.1.1,image-stimulus-set-from-directory-demo__mode=live__launch=2026-03-09--18-02-10,True,False,,label_experiment,prompt,nodes/node_16__prompt,label_experiment/nodes/node_16__prompt,label_experiment/nodes/node_16__prompt.mp4,,,,,16,16,,False,93b7583a47ae01893e2dbf89e98ead9e,cached/label_experiment/nodes/node_16__prompt/93b7583a47ae01893e2dbf89e98ead9e.mp4,/static/assets/cached/label_experiment/nodes/node_16__prompt/93b7583a47ae01893e2dbf89e98ead9e.mp4,False,,.mp4,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/psynet-data/assets""}","{""name"": ""0-7_0-16.mp4""}",CachedAsset,input/experiment/participant-group-1/block-a/0-7_0-16.mp4,1,,,,True,CachedAsset,Asset,/psynet-data/assets/cached/label_experiment/nodes/node_16__prompt/93b7583a47ae01893e2dbf89e98ead9e.mp4
"{""py/object"": ""psynet.trial.static.StaticNode"", ""identifiers"": {""id"": 17}}","{""file_system_path"": ""/psynet-data/assets/cached/label_experiment/nodes/node_17__prompt/e877ccbafd230ea8bef765d40fdd5afa.mp4""}",17,2026-03-09 18:02:10,13.1.1,image-stimulus-set-from-directory-demo__mode=live__launch=2026-03-09--18-02-10,True,False,,label_experiment,prompt,nodes/node_17__prompt,label_experiment/nodes/node_17__prompt,label_experiment/nodes/node_17__prompt.mp4,,,,,17,17,,False,e877ccbafd230ea8bef765d40fdd5afa,cached/label_experiment/nodes/node_17__prompt/e877ccbafd230ea8bef765d40fdd5afa.mp4,/static/assets/cached/label_experiment/nodes/node_17__prompt/e877ccbafd230ea8bef765d40fdd5afa.mp4,False,,.mp4,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/psynet-data/assets""}","{""name"": ""0-25_0-34.mp4""}",CachedAsset,input/experiment/participant-group-1/block-a/0-25_0-34.mp4,1,,,,True,CachedAsset,Asset,/psynet-data/assets/cached/label_experiment/nodes/node_17__prompt/e877ccbafd230ea8bef765d40fdd5afa.mp4
"{""py/object"": ""psynet.trial.static.StaticNode"", ""identifiers"": {""id"": 18}}","{""file_system_path"": ""/psynet-data/assets/cached/label_experiment/nodes/node_18__prompt/8c0d405791923ede8e61817667644b20.mp4""}",18,2026-03-09 18:02:10,13.1.1,image-stimulus-set-from-directory-demo__mode=live__launch=2026-03-09--18-02-10,True,False,,label_experiment,prompt,nodes/node_18__prompt,label_experiment/nodes/node_18__prompt,label_experiment/nodes/node_18__prompt.mp4,,,,,18,18,,False,8c0d405791923ede8e61817667644b20,cached/label_experiment/nodes/node_18__prompt/8c0d405791923ede8e61817667644b20.mp4,/static/assets/cached/label_experiment/nodes/node_18__prompt/8c0d405791923ede8e61817667644b20.mp4,False,,.mp4,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/psynet-data/assets""}","{""name"": ""0-19_0-35.mp4""}",CachedAsset,input/experiment/participant-group-1/block-a/0-19_0-35.mp4,1,,,,True,CachedAsset,Asset,/psynet-data/assets/cached/label_experiment/nodes/node_18__prompt/8c0d405791923ede8e61817667644b20.mp4
"{""py/object"": ""psynet.trial.static.StaticNode"", ""identifiers"": {""id"": 19}}","{""file_system_path"": ""/psynet-data/assets/cached/label_experiment/nodes/node_19__prompt/3a2930bda1e51b87652241a68afbd89d.mp4""}",19,2026-03-09 18:02:10,13.1.1,image-stimulus-set-from-directory-demo__mode=live__launch=2026-03-09--18-02-10,True,False,,label_experiment,prompt,nodes/node_19__prompt,label_experiment/nodes/node_19__prompt,label_experiment/nodes/node_19__prompt.mp4,,,,,19,19,,False,3a2930bda1e51b87652241a68afbd89d,cached/label_experiment/nodes/node_19__prompt/3a2930bda1e51b87652241a68afbd89d.mp4,/static/assets/cached/label_experiment/nodes/node_19__prompt/3a2930bda1e51b87652241a68afbd89d.mp4,False,,.mp4,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/psynet-data/assets""}","{""name"": ""0-4_0-30.mp4""}",CachedAsset,input/experiment/participant-group-1/block-a/0-4_0-30.mp4,1,,,,True,CachedAsset,Asset,/psynet-data/assets/cached/label_experiment/nodes/node_19__prompt/3a2930bda1e51b87652241a68afbd89d.mp4
"{""py/object"": ""psynet.trial.static.StaticNode"", ""identifiers"": {""id"": 20}}","{""file_system_path"": ""/psynet-data/assets/cached/label_experiment/nodes/node_20__prompt/98e869cc90170fd05e74444c0f733704.mp4""}",20,2026-03-09 18:02:10,13.1.1,image-stimulus-set-from-directory-demo__mode=live__launch=2026-03-09--18-02-10,True,False,,label_experiment,prompt,nodes/node_20__prompt,label_experiment/nodes/node_20__prompt,label_experiment/nodes/node_20__prompt.mp4,,,,,20,20,,False,98e869cc90170fd05e74444c0f733704,cached/label_experiment/nodes/node_20__prompt/98e869cc90170fd05e74444c0f733704.mp4,/static/assets/cached/label_experiment/nodes/node_20__prompt/98e869cc90170fd05e74444c0f733704.mp4,False,,.mp4,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/psynet-data/assets""}","{""name"": ""0-15_0-22.mp4""}",CachedAsset,input/experiment/participant-group-1/block-a/0-15_0-22.mp4,1,,,,True,CachedAsset,Asset,/psynet-data/assets/cached/label_experiment/nodes/node_20__prompt/98e869cc90170fd05e74444c0f733704.mp4
